Date,FR_10Y,IT_10Y,ES_10Y,AAA_10Y,spread_FR,spread_IT,spread_ES
2023-10-09,3.363,4.836,3.918,2.8738935511,48.910644889999986,196.21064489000003,104.41064489
2023-10-10,3.337,4.73,3.881,2.8643948716,47.26051284000001,186.56051284000003,101.66051283999997
2023-10-11,3.276,4.665,3.813,2.7561586862,51.98413137999998,190.88413137999999,105.68413138000001
2023-10-12,3.342,4.758,3.896,2.7938537924,54.81462075999999,196.41462076,110.21462075999997
2023-10-13,3.321,4.775,3.882,2.8835732133,43.74267867000001,189.14267867000004,99.84267867000001
2023-10-16,3.409,4.778,3.912,2.8620178446,54.698215539999985,191.59821553999996,104.99821553999999
2023-10-17,3.503,4.892,4.004,2.9370802435,56.59197565,195.49197565000003,106.69197564999995
2023-10-18,3.552,4.984,4.054,2.9527097575,59.92902425,203.12902425,110.12902425000001
2023-10-19,3.542,4.945,4.033,3.0011097622,54.08902377999998,194.38902378000003,103.18902378000003
2023-10-20,3.513,4.923,4.0,2.9495121221,56.34878779000001,197.34878779000002,105.04878779000002
2023-10-23,3.482,4.842,3.966,2.9765842729,50.54157271000004,186.54157270999997,98.94157271000003
2023-10-24,3.463,4.847,3.951,2.8932419598,56.97580402,195.37580402000003,105.77580402
2023-10-25,3.517,4.916,4.005,2.9189824464,59.80175536000001,199.70175536000005,108.60175536000001
2023-10-26,3.48,4.85,3.96,2.9033934306,57.660656939999996,194.66065693999997,105.66065694
2023-10-27,3.452,4.812,3.929,2.8984970075,55.35029924999999,191.35029925000003,103.05029924999998
2023-10-30,3.441,4.74,3.9,2.9012196761,53.97803238999997,183.87803239,99.87803238999997
2023-10-31,3.43,4.726,3.886,2.8226726907,60.73273093,190.33273092999997,106.33273093
2023-11-01,3.383,4.673,3.842,2.8197946048,56.32053951999998,185.32053951999998,102.22053951999999
2023-11-02,3.307,4.557,3.759,2.7491134356,55.78865644,180.78865644000004,100.98865643999999
2023-11-03,3.233,4.447,3.68,2.7005766639,53.24233360999999,174.64233360999998,97.94233360999999
2023-11-06,3.335,4.584,3.796,2.7691646463,56.58353536999998,181.48353536999994,102.68353536999997
2023-11-07,3.257,4.493,3.722,2.7184321682,53.85678318,177.45678318000003,100.35678317999998
2023-11-08,3.205,4.478,3.663,2.6835389676,52.146103239999995,179.44610323999996,97.94610323999997
2023-11-09,3.233,4.513,3.698,2.7002831579,53.27168421000002,181.27168421,99.77168421
2023-11-10,3.3,4.578,3.77,2.7551960877,54.480391229999995,182.28039123000005,101.48039123000001
2023-11-13,3.289,4.56,3.766,2.7881690124,50.08309876000001,177.18309875999995,97.78309876
2023-11-14,3.154,4.411,3.632,2.6848069955,46.91930045000001,172.61930044999997,94.71930045000003
2023-11-15,3.21,4.451,3.671,2.6871053051,52.289469490000016,176.38946948999998,98.38946949000001
2023-11-16,3.147,4.348,3.586,2.6349265771,51.20734228999999,171.30734229,95.10734228999999
2023-11-17,3.159,4.366,3.601,2.6413046564,51.76953435999998,172.46953435999995,95.96953436
2023-11-20,3.178,4.359,3.609,2.6603005277,51.76994722999999,169.86994723,94.86994723
2023-11-21,3.126,4.321,3.56,2.624200413,50.179958699999986,169.67995869999996,93.57995869999999
2023-11-22,3.126,4.312,3.551,2.5855317528,54.046824719999975,172.64682472,96.54682472
2023-11-23,3.184,4.394,3.62,2.6657392323,51.826076770000014,172.82607677000001,95.42607677000001
2023-11-24,3.201,4.402,3.639,2.6869213104,51.40786896000002,171.50786896000002,95.20786896
2023-11-27,3.113,4.299,3.547,2.6289134686,48.40865314,167.00865314000004,91.80865314000002
2023-11-28,3.063,4.261,3.502,2.5892364669,47.376353310000006,167.17635331,91.27635330999996
2023-11-29,2.992,4.172,3.428,2.4830794967,50.89205033000002,168.89205033,94.49205033000001
2023-11-30,3.027,4.236,3.475,2.5285020009,49.84979991,170.74979990999998,94.64979991
2023-12-01,2.929,4.103,3.361,2.4797884548,44.92115451999999,162.32115451999996,88.12115452000002
2023-12-04,2.923,4.119,3.365,2.3892714774,53.372852260000016,172.97285226,97.57285226000003
2023-12-05,2.8,3.994,3.254,2.3269332366,47.30667633999999,166.70667634000003,92.70667634
2023-12-06,2.746,3.951,3.205,2.2782674646,46.77325354000001,167.27325354,92.67325354000002
2023-12-07,2.728,3.946,3.195,2.2353317021,49.26682979000003,171.06682979000004,95.96682978999999
2023-12-08,2.827,4.068,3.298,2.3534261872,47.35738127999998,171.45738127999994,94.45738127999999
2023-12-11,2.823,4.068,3.3,2.3371734995,48.58265005,173.08265004999996,96.28265004999999
2023-12-12,2.771,4.005,3.241,2.3068463462,46.41536538,169.81536538,93.41536538000001
2023-12-13,2.714,3.94,3.177,2.2525470525,46.14529474999998,168.74529474999997,92.44529474999999
2023-12-14,2.64,3.789,3.078,2.2116980315,42.83019685,157.73019685,86.63019684999998
2023-12-15,2.549,3.727,2.999,2.1147842384,43.42157616,161.22157615999998,88.42157616000001
2023-12-18,2.608,3.773,3.058,2.1553213039,45.26786961,161.76786961,90.26786960999998
2023-12-19,2.522,3.642,2.958,2.0913589612,43.06410387999997,155.06410387999998,86.66410388000001
2023-12-20,2.479,3.605,2.918,2.0466529474,43.23470526,155.83470526,87.13470526
2023-12-21,2.466,3.586,2.895,2.0472863063,41.87136937,153.87136936999997,84.77136936999999
2023-12-22,2.476,3.549,2.895,2.0192952065,45.670479350000015,152.97047935,87.57047935000001
2023-12-27,2.409,3.484,2.827,1.9876091225,42.13908774999997,149.63908775,83.93908774999998
2023-12-28,2.475,3.601,2.904,2.0028420209,47.21579790999999,159.81579791,90.11579790999997
2023-12-29,2.558,3.699,2.991,2.0808856999,47.71143000999998,161.81143000999998,91.01143001
2024-01-02,2.595,3.721,3.029,2.1199493571,47.505064290000035,160.10506429000003,90.90506429
2024-01-03,2.557,3.7,2.999,2.1214189676,43.55810324,157.85810324000002,87.75810324000003
2024-01-04,2.653,3.8,3.103,2.2072419203,44.57580797,159.27580797,89.57580797000003
2024-01-05,2.68,3.829,3.132,2.2469256583,43.30743417000002,158.20743417000003,88.50743417000002
2024-01-08,2.662,3.813,3.112,2.2307313873,43.126861269999985,158.22686127,88.12686127
2024-01-09,2.724,3.855,3.163,2.2570451998,46.69548002000003,159.79548002,90.59548002
2024-01-10,2.748,3.851,3.18,2.2732383195,47.476168050000034,157.77616805000002,90.67616805000003
2024-01-11,2.743,3.817,3.162,2.2583578869,48.46421131,155.86421131000003,90.36421131
2024-01-12,2.678,3.732,3.091,2.226207696,45.1792304,150.57923040000003,86.47923040000003
2024-01-15,2.735,3.813,3.155,2.2810119759,45.39880241,153.19880241000004,87.39880241
2024-01-16,2.75,3.83,3.173,2.2599486199,49.00513801000002,157.00513801000002,91.30513801000002
2024-01-17,2.816,3.919,3.249,2.3394291535,47.65708465,157.95708465,90.95708465000003
2024-01-18,2.847,3.927,3.27,2.363052963,48.39470370000001,156.3947037,90.69470370000002
2024-01-19,2.831,3.88,3.245,2.3846269956,44.63730043999998,149.53730043999997,86.03730044
2024-01-22,2.788,3.846,3.206,2.3354762926,45.25237073999997,151.05237074,87.05237073999999
2024-01-23,2.846,3.921,3.27,2.3886325322,45.73674678000002,153.23674677999998,88.13674678000001
2024-01-24,2.842,3.907,3.267,2.3845432402,45.74567597999999,152.24567598,88.24567597999997
2024-01-25,2.783,3.832,3.203,2.3687528773,41.42471227,146.32471227,83.42471226999999
2024-01-26,2.785,3.825,3.201,2.3883232291,39.66767709000001,143.66767709,81.26767709
2024-01-29,2.72,3.739,3.132,2.3251514995,39.48485005000002,141.38485004999998,80.68485005000001
2024-01-30,2.76,3.804,3.178,2.3328476651,42.715233489999974,147.11523348999998,84.51523348999999
2024-01-31,2.661,3.727,3.089,2.26580157,39.51984300000002,146.119843,82.31984300000002
2024-02-01,2.646,3.717,3.077,2.2542621453,39.17378547000001,146.27378547000004,82.27378547000002
2024-02-02,2.74,3.816,3.168,2.2752204759,46.477952410000036,154.07795241,89.27795241000003
2024-02-05,2.82,3.889,3.236,2.380938321,43.90616789999999,150.8061679,85.50616790000004
2024-02-06,2.805,3.862,3.217,2.3871789716,41.782102840000015,147.48210284,82.98210284000001
2024-02-07,2.827,3.894,3.243,2.3747592768,45.224072320000005,151.92407232000002,86.82407232
2024-02-08,2.865,3.934,3.282,2.4271401791,43.78598209000004,150.68598209000004,85.48598209000002
2024-02-09,2.895,3.972,3.371,2.461190883,43.3809117,151.0809117,90.98091170000001
2024-02-12,2.864,3.912,3.323,2.4517828411,41.221715889999984,146.02171589,87.12171588999999
2024-02-13,2.89,3.943,3.339,2.4619773052,42.80226948000001,148.10226948000002,87.70226948
2024-02-14,2.828,3.86,3.267,2.445205132,38.279486799999994,141.4794868,82.1794868
2024-02-15,2.841,3.858,3.272,2.3870546854,45.39453146000003,147.09453146,88.49453145999999
2024-02-16,2.874,3.88,3.296,2.4712489514,40.275104860000035,140.87510486000002,82.47510486
2024-02-19,2.886,3.906,3.317,2.471856408,41.41435920000003,143.41435920000004,84.51435920000003
2024-02-20,2.849,3.865,3.281,2.4409811023,40.80188977000003,142.40188977000003,84.00188977000002
2024-02-21,2.928,3.952,3.363,2.4744667685,45.35332314999998,147.75332314999997,88.85332314999998
