Date,SX5E,VSTOXX,FR_10Y,IT_10Y,ES_10Y,AAA_10Y,spread_FR,spread_IT,spread_ES,Refi,ret_sx5e,delta_vstoxx,delta_refi,delta_spread_FR,delta_spread_IT,delta_spread_ES
2020-10-05,3220.219970703125,26.28,-0.239,0.8,0.259,-0.4874808719694501,24.848087196945013,128.74808719694502,74.64808719694501,0.0,0.009137282170480314,-0.5399999999999991,0.0,0.3801412742068564,-0.8198587257931536,1.780141274206855
2020-10-06,3233.300048828125,25.21,-0.242,0.784,0.242,-0.4921696647913767,25.016966479137672,127.61696647913767,73.41696647913767,0.0,0.004053631505385582,-1.0700000000000003,0.0,0.16887928219265902,-1.1311207178073488,-1.2311207178073431
2020-10-07,3233.429931640625,24.97,-0.229,0.786,0.245,-0.4664222176752703,23.74222176752703,125.24222176752704,71.14222176752702,0.0,4.0169548723929746e-05,-0.240000000000002,0.0,-1.2747447116106407,-2.3747447116106315,-2.2747447116106514
2020-10-08,3255.760009765625,23.98,-0.26,0.758,0.202,-0.4911001528521677,23.110015285216768,124.91001528521676,69.31001528521676,0.0,0.006882266189257151,-0.9899999999999984,0.0,-0.6322064823102629,-0.3322064823102835,-1.832206482310255
2020-10-09,3273.1201171875,22.24,-0.264,0.714,0.174,-0.5156040123577754,25.16040123577754,122.96040123577754,68.96040123577754,0.0,0.005317955911955544,-1.740000000000002,0.0,2.0503859505607736,-1.9496140494392193,-0.349614049439225
2020-10-12,3298.1201171875,22.25,-0.284,0.674,0.146,-0.5197315661591118,23.573156615911177,119.37315661591116,66.57315661591117,0.0,0.007608950434055155,0.010000000000001563,0.0,-1.5872446198663646,-3.5872446198663823,-2.3872446198663653
2020-10-13,3279.18994140625,22.94,-0.294,0.664,0.147,-0.5301042033197376,23.610420331973764,119.41042033197378,67.71042033197376,0.0,-0.005756221884659494,0.6900000000000013,0.0,0.03726371606258638,0.03726371606262546,1.1372637160625914
2020-10-14,3273.280029296875,23.24,-0.306,0.658,0.138,-0.5539630430253792,24.796304302537926,121.19630430253792,69.19630430253792,0.0,-0.0018038735738889653,0.29999999999999716,0.0,1.1858839705641628,1.785883970564143,1.48588397056416
2020-10-15,3192.68994140625,26.84,-0.333,0.695,0.151,-0.5935013527583859,26.05013527583859,128.85013527583857,74.45013527583859,0.0,-0.02492874594856823,3.6000000000000014,0.0,1.253830973300662,7.653830973300643,5.253830973300666
2020-10-16,3245.469970703125,25.32,-0.345,0.655,0.126,-0.5929924224393228,24.799242243932284,124.79924224393228,71.89924224393228,0.0,0.016396365565392906,-1.5199999999999996,0.0,-1.2508930319063047,-4.050893031906284,-2.5508930319063126
2020-10-19,3242.510009765625,26.62,-0.339,0.718,0.163,-0.5837748201340967,24.477482013409663,130.17748201340967,74.67748201340967,0.0,-0.0009124445980941278,1.3000000000000007,0.0,-0.3217602305226208,5.378239769477389,2.778239769477395
2020-10-20,3227.8701171875,27.63,-0.328,0.74,0.184,-0.5828554477846564,25.485544778465638,132.28554477846563,76.68554477846563,0.0,-0.0045252109685305,1.009999999999998,0.0,1.0080627650559748,2.108062765055962,2.0080627650559535
2020-10-21,3180.699951171875,29.45,-0.31,0.745,0.206,-0.5619477989644484,25.194779896444835,130.69477989644486,76.79477989644484,0.0,-0.014721230284271058,1.8200000000000003,0.0,-0.2907648820208024,-1.5907648820207783,0.10923511797921037
2020-10-22,3171.409912109375,28.99,-0.283,0.803,0.227,-0.5493628922720837,26.63628922720837,135.23628922720837,77.63628922720837,0.0,-0.0029250267662495675,-0.46000000000000085,0.0,1.4415093307635338,4.5415093307635175,0.8415093307635289
2020-10-23,3198.860107421875,28.16,-0.298,0.764,0.2,-0.5347056709079472,23.67056709079472,129.8705670907947,73.47056709079472,0.0,0.008618273678377135,-0.8299999999999983,0.0,-2.9657221364136497,-5.365722136413666,-4.165722136413649
2020-10-26,3105.25,31.76,-0.297,0.731,0.187,-0.5440869293022681,24.70869293022681,127.5086929302268,73.10869293022681,0.0,-0.029700302472707166,3.6000000000000014,0.0,1.038125839432091,-2.3618741605679077,-0.36187416056790767
2020-10-27,3070.60009765625,32.74,-0.326,0.704,0.161,-0.5840760697426433,25.807606974264324,128.80760697426433,74.50760697426433,0.0,-0.011221213395867227,0.9800000000000004,0.0,1.0989140440375138,1.2989140440375309,1.3989140440375252
